Domain1,Domain2,Domain3,Domain4,Domain5,Domain6,Domain7,Domain8,Domain9,Domain10,SelfRepHapp
4,4,3.333333333,3.25,3,3.75,3,2.4,4,3,7
3.8,3.75,2.666666667,3.25,2.714285714,4.75,3.25,2.8,3.666666667,5,6
3.6,3,2.666666667,4.75,3.714285714,4,4,3.4,2.666666667,4.25,6
3.8,2.5,2.666666667,3.5,4,3,4,3.2,2.666666667,3,6
3.2,3,2.666666667,3.25,2.571428571,4.25,2,2.4,3.333333333,3.5,8
3.2,4.25,2.666666667,3.25,4,3.75,4,3.2,4,4.25,7
3.4,2.5,3,3.5,3.714285714,3.5,3.75,3.6,2.333333333,4.5,6
4.4,3.75,3.333333333,4.25,4,3.75,4,3.2,3.666666667,4.25,8
3.8,3.75,3,3.25,3.571428571,3.25,4.25,2.8,4,4.5,6
4,3,3,3,3.571428571,3.25,4.75,3.4,4,4.75,7
4.4,2.5,2.333333333,3.5,4.142857143,3.75,3.75,3,2.333333333,4.75,8
4,3.75,2.666666667,3,3.285714286,3.5,3,3.2,4,4.5,7
4.4,3.5,2.666666667,3.75,4,3.75,3.75,3.4,3.666666667,4.5,8
3.8,3.5,3,3.25,3.571428571,3.5,3.25,3,3,3,7
3,3.25,2.666666667,3.25,2.571428571,3,2,2.8,3.666666667,4.25,5
3.2,1.75,2.666666667,2.75,4.142857143,3.5,2,2.8,2.333333333,4,5
3.6,2,3.333333333,3.25,3,3.75,1.75,2.6,3.333333333,4.5,8
4.8,4,2.666666667,3.25,3.857142857,4.25,3.5,3.8,3.666666667,4.5,9
3.4,2.75,3,3.75,2.857142857,3.25,2.5,2.6,1.333333333,3.25,7
3.8,3.5,3,3.25,2.714285714,3.5,3.5,2.6,4,4,7
3.6,2,3,2,3.142857143,3.25,2.25,2.6,2.666666667,4.5,6
2.6,2.75,4,3.75,3.857142857,3,3,2.6,2.333333333,4.25,6
4.4,2.5,2.333333333,3,3.142857143,3,2.25,2.8,3,2.5,6
3.4,3.25,3.666666667,3.25,3,3.5,4,3.2,3,4.25,7
4.4,4.25,2.666666667,3,2.857142857,4.25,3.25,2.8,3,4,8
3.8,3.25,2.666666667,3.25,3.714285714,3,3.5,2.6,4.333333333,5,8
4,3.25,3.333333333,4,2.571428571,3.75,3,2.8,4,4.75,9
4.2,4.25,3,3.5,4.428571429,4.25,4.25,3.4,4,4.5,8
4,4,3.333333333,2.75,3,4,3.25,2.8,3.333333333,3.5,8
4.2,3,3,2.75,3.714285714,4,2.5,3.2,3.333333333,3.5,8
3,3.25,3.666666667,3.75,3.571428571,3.5,4.25,2.6,2.666666667,3.75,6
4.2,3.5,3,4,3.285714286,4.25,3,3.6,3.333333333,3.75,7
5,3,2.333333333,4.25,4.285714286,4,3.5,3,4.333333333,3.5,10
3,1.5,2.666666667,4.25,3.857142857,3.25,3.25,2.2,3.333333333,1.5,5
3,2.75,2.666666667,3,3,3.75,2.5,2,1.666666667,4.25,4
3.4,4,3.333333333,4.25,4,4,3.25,3.2,2.666666667,4,8
3.4,3,2.666666667,3,2.714285714,4.5,3.5,3.4,2.666666667,3,7
2.8,1.5,2.666666667,2.25,3.142857143,2.5,3.75,2,2.333333333,4,4
3.6,2.75,3.333333333,4,3.571428571,3.75,3.25,3.2,3,4.25,8
3.8,2,2.666666667,3.75,2.714285714,4,3,2.4,2,2.75,6
3.6,3.5,2.666666667,3,3.714285714,3.25,3,3,3,3.75,4
3.6,3.75,3.333333333,4,3.714285714,3.25,3.5,2.2,4,4.75,7
3.4,4.5,2.666666667,4.5,2.428571429,3.75,4,3,2.666666667,4.25,6
4.6,3.5,2.666666667,3.5,3.714285714,4.5,2.75,2.8,2.666666667,2.5,7
4.2,2.75,3.666666667,4.25,3.571428571,4.25,3.25,2.4,3.333333333,3,9
3.4,3.25,3,4,3.428571429,3.25,3.5,3,2.666666667,3.5,5
4.2,4.5,2.666666667,3.75,3.428571429,4,3.5,3.2,3.666666667,3,7
3.8,3.75,2.666666667,3.25,4,3.5,4.25,3.8,4.333333333,4.5,8
2.8,2,1.666666667,3.25,3.428571429,2.5,3.5,3.6,3.333333333,5,9
4.4,3.25,2.333333333,3.25,3.428571429,2.75,3.5,3,2,4.75,9
4.2,1.25,3,4,4.285714286,3.5,3.25,3,3,2.5,4
4,2.25,2.666666667,3.25,4,4.75,4,4,2,5,8
3.8,3.5,3.333333333,3.75,3.714285714,3.25,3.75,3.2,4,5,8
3.8,2,2.666666667,3.25,4.142857143,4,3.5,2,2.333333333,4.25,7
4.4,4.5,3,3,4,3.5,4.25,3.4,3.666666667,3.75,9
3.6,2.25,3,4.25,2.857142857,3.5,3.75,3,3,3.75,7
3,2.25,3.333333333,3.5,2.428571429,3.75,3.5,3.4,2,4.5,7
3.2,2.5,3,3.25,1.142857143,3.5,2.5,2.4,2.666666667,2,6
3.4,2.25,2.666666667,3,2.571428571,3.75,3,2.4,2.666666667,4,5
3,1.75,3,3.5,2.714285714,3.5,3.5,2.8,3,4.75,4
3,2.5,3.333333333,2.75,2.142857143,3,2.5,3.4,2.333333333,2.75,4
5,2.5,3.333333333,4.25,2.428571429,4,1.25,3,3.666666667,1.25,9
1.6,2.25,2.333333333,1.75,3.142857143,2.25,3,3.6,3.666666667,4.5,2
3.4,3.25,3.666666667,3.5,3.285714286,4,2.25,2.4,3.666666667,4.75,8
4.2,3.75,3,3.25,3.857142857,4,3.75,3.6,4.666666667,5,8
4.2,4.5,3.333333333,3.25,4.142857143,4,4,3.2,4,3.75,9
3.4,2.75,3,3,3,3,2.5,2.6,4,2.75,7
4.8,5,3.666666667,3.75,3.142857143,3.75,2.5,2.6,5,5,10
3.8,2.75,3.666666667,4.5,3.857142857,4,5,2.4,3.666666667,1.25,7
3.2,2.25,3.333333333,3,2.428571429,2.25,4,2.6,2.666666667,4.75,6
4.8,3.25,2.666666667,4,4.285714286,4,4.75,2.8,3,4.25,9
3.2,2.5,3.666666667,3.25,2.857142857,3.25,3.25,2.6,2.333333333,4.25,7
3.8,2.75,2.666666667,3,4.142857143,3.75,2,2.6,1.666666667,4.5,7
3,3.25,3.333333333,4.5,3.428571429,2.5,4.25,3,2.666666667,4.25,3
2.4,2,2.666666667,3.75,3.142857143,4.5,3.75,2.8,1.666666667,4.75,6
4.4,3.25,3,2.75,2.142857143,3.25,2.75,2,3.333333333,4.5,4
4.2,3.25,2.666666667,4,3.857142857,4,2.25,3,3,3.25,8
3.4,3,3.666666667,3.25,2.714285714,4,3.75,3.2,3.333333333,3.75,7
4.4,4,3.333333333,3.5,2.285714286,4.25,3.5,3,4,5,8
